trial_id,fs_estimate_hz,flagged_fs_outlier
1,250.02385931937627,False
2,250.05680812356468,False
3,250.0994217757048,False
4,249.1587427737847,False
5,249.81298763842804,False
6,251.44401713143233,False
7,250.14674975674242,False
8,243.5165924155356,False
9,257.54196282470326,False
10,250.55704073967644,False
11,249.43669130113014,False
12,249.82960551118225,False
13,250.62387191580302,False
14,250.33586478185586,False
15,248.60174451246027,False
16,252.10160075862655,False
17,250.2516310694904,False
18,248.47170759891267,False
19,250.268876302339,False
20,250.19223202982167,False
21,250.31982138810955,False
22,250.34661836973257,False
23,250.33078924741454,False
24,250.17721636633755,False
25,250.2507213771502,False
26,250.1325732671001,False
27,250.28489311391266,False
28,250.26722962161202,False
29,250.23821696941226,False
30,250.35048065182923,False
31,249.8481615042989,False
32,250.55090871195475,False
33,250.16042450648197,False
34,250.11092854935256,False
35,250.32090208314722,False
36,250.3674284783769,False
37,250.0701227014771,False
38,250.34512113565665,False
39,250.19028327586884,False
40,250.20194120160488,False
41,249.98171402793625,False
42,250.54831882540992,False
43,250.1582183136453,False
44,250.2373274207526,False
45,250.32773499970554,False
46,250.29814926733638,False
47,250.2461780498855,False
48,250.3195957144434,False
49,250.29768046429876,False
50,250.35883262886446,False
51,250.26874596949997,False
52,250.332303860854,False
53,250.17447392235331,False
54,250.27007936943778,False
55,250.0963906906557,False
56,249.84630552591778,False
57,250.6315433461766,False
58,250.31786061069238,False
59,250.32892609764502,False
60,250.3009445702104,False
61,250.50337746942253,False
62,250.09428824331613,False
63,250.07023781879911,False
64,251.128192651535,False
65,250.4687845544522,False
66,250.52125011168548,False
67,249.77024685507763,False
68,250.83916188903478,False
69,250.75129060029704,False
70,250.0239818931459,False
71,249.90297634674687,False
72,250.33717131307722,False
73,250.772173078944,False
74,248.87845597915415,False
75,251.4088452708884,False
76,249.99563832914325,False
77,249.93403851693594,False
78,250.7253603038772,False
79,249.66155075035047,False
80,250.36484489777342,False
81,249.80638006256717,False
82,250.4779277230985,False
83,249.48613244449362,False
84,250.81430844848836,False
85,249.36600016722994,False
86,250.8820678173483,False
87,250.21779411297496,False
88,249.75324998733697,False
89,250.80637662342187,False
90,250.095777475625,False
91,250.56190185888545,False
92,248.2832440676997,False
93,249.87832055473282,False
94,251.63366029973662,False
95,250.62402272548343,False
96,250.74248220212957,False
97,248.66741777661431,False
98,251.12661287537424,False
99,250.97862077941818,False
100,250.45937596977268,False
101,249.59426200409413,False
102,250.8349572027923,False
103,249.90072970986867,False
104,249.65002043879247,False
105,250.71415913189554,False
106,249.9080970229027,False
107,250.40436949045898,False
108,250.33918254339486,False
109,250.02693117231357,False
110,249.56030101436443,False
111,251.3160124267946,False
112,249.834408475207,False
113,250.84510911726255,False
114,249.8032237333926,False
115,248.72197066883948,False
116,249.12017662000247,False
117,252.8996784929558,False
118,250.08455239828177,False
119,250.4015417683459,False
120,250.1828091503943,False
121,248.96053497266385,False
122,251.21732335102297,False
123,250.21942511366922,False
124,250.21377808697852,False
125,250.24237410867147,False
126,249.43876029260252,False
127,250.21281856713577,False
128,249.3709495537767,False
129,250.5368119648416,False
130,250.09024865270823,False
131,250.33527045231963,False
132,250.40471574611794,False
133,248.37763140266784,False
134,251.9494424260642,False
135,249.87062770804133,False
136,250.77234168409257,False
137,249.80422006656048,False
138,250.84742564013274,False
139,250.53057041471658,False
140,249.5878355021746,False
141,250.73605178358352,False
142,240.86682911623873,False
143,260.2811794969331,False
144,250.4334758956432,False
145,250.40896875074702,False
146,250.20845948906793,False
147,250.17795772021051,False
148,250.270415230993,False
149,249.9094565702011,False
150,250.36452132431253,False
151,250.27210456648587,False
152,250.38668661638246,False
153,250.14244556529323,False
154,250.2514756999093,False
155,250.38146352309022,False
156,250.33051591762097,False
157,250.44646165750882,False
158,250.4387714337488,False
159,250.20757767623172,False
160,250.05277724476335,False
161,250.20809624549392,False
162,250.17972094622186,False
163,250.67292741051392,False
164,249.58845121735044,False
165,250.8630708550001,False
166,250.25479874185413,False
167,250.28216334289922,False
168,250.3631016359642,False
169,249.87953986456728,False
170,250.39668937829921,False
171,250.3941227503046,False
172,250.5500546222679,False
173,250.38000601608306,False
174,250.17414834210498,False
175,250.2404746843474,False
176,249.75206935058725,False
177,250.54949193306328,False
178,250.52540159391202,False
179,250.22228880864003,False
180,250.54989888191142,False
181,250.23165703508127,False
182,250.25651543130766,False
183,250.104976034327,False
184,250.37640620646818,False
185,250.286284338252,False
186,250.22050744743908,False
187,250.44321384022567,False
188,250.13094590209533,False
189,250.31465874361794,False
190,249.73031574402512,False
191,250.92792877078952,False
192,250.4705393242299,False
193,250.26758301723262,False
194,250.28396062231278,False
195,249.83466823704254,False
196,250.5857755891557,False
197,250.31674483885797,False
198,250.27960408126594,False
199,250.28334147666175,False
200,250.06468509895956,False
201,250.49051887652755,False
202,250.1491710893521,False
203,250.2351674830021,False
204,250.3141798553337,False
205,249.98528748097362,False
206,250.2346162301271,False
207,250.50933138227097,False
208,251.00020921714585,False
209,248.96684983963758,False
210,250.81698187026393,False
211,249.8083603012737,False
212,250.21805216581984,False
213,250.39848830292084,False
214,249.28101778280717,False
215,250.4122909610468,False
216,250.9399402820841,False
217,250.1839087003212,False
218,250.2376030616104,False
219,250.19127267813715,False
220,250.26623710923062,False
221,250.50495694744396,False
222,250.48865836411886,False
223,250.13776595125876,False
224,250.1179627974754,False
225,250.56576074008026,False
226,250.20939392336803,False
227,250.21751351375818,False
228,250.14935638294233,False
229,249.52818055448893,False
230,250.83700413533887,False
231,249.7568818116677,False
232,250.3875998033539,False
233,249.93284367484955,False
234,249.62332998236062,False
235,249.3716712032186,False
236,249.9920395686627,False
237,240.96027500463586,False
238,260.9301924329724,False
239,250.77939556638157,False
240,249.31162705436432,False
241,250.5845946064439,False
242,250.5008438085158,False
243,250.46290536133773,False
244,250.89749568089562,False
245,250.33848036427318,False
246,249.7488145552621,False
247,246.6978495776156,False
248,252.651794922195,False
249,250.90533250374244,False
250,250.31106082446527,False
251,249.90106707695398,False
252,249.46207929766254,False
253,250.6231957887226,False
254,250.3101231263305,False
255,249.0301402114274,False
256,248.50534575427324,False
257,253.03858176136293,False
258,250.21300145266298,False
259,250.0266985305188,False
260,248.65360886456887,False
261,250.52348531310315,False
262,250.20717935705028,False
263,250.2541321215196,False
264,250.4349214795103,False
265,250.60151885869683,False
266,250.00287368292072,False
267,250.42357308694096,False
268,250.16441126962746,False
269,250.1465870004047,False
270,250.32819638964273,False
271,250.46970335829258,False
272,250.35129576353347,False
273,250.29373457070227,False
274,250.01616501338478,False
275,250.4264088324205,False
276,250.22157225822193,False
277,249.7016869217864,False
278,250.72392646115586,False
279,249.43865572093392,False
280,248.96854394503862,False
281,250.96783299394764,False
282,250.18476780678546,False
283,251.5039943880893,False
284,249.18514264528798,False
285,248.6939264732245,False
286,252.04468095503307,False
287,248.7950093094705,False
288,251.9440624890135,False
289,250.33869603494907,False
290,248.37295834380862,False
291,252.9929091533304,False
292,249.68818451968863,False
293,250.6826060276771,False
294,250.27640319572265,False
295,250.21721537759763,False
296,249.781094206843,False
297,247.82796245090054,False
298,247.3927364639427,False
299,243.83725725771853,False
300,250.84738535428002,False
301,245.35863976179408,False
302,260.13107483355026,False
303,259.6678475200528,False
304,238.73151884624838,False
305,266.57402108265376,False
306,238.51647221101004,False
307,249.89700623434277,False
308,250.44127120517817,False
309,250.2149380353896,False
310,250.0535003423136,False
311,245.90902924518105,False
312,254.96686731516573,False
313,248.51186243861662,False
314,251.66529361885836,False
315,250.24413824134317,False
316,250.18091564239228,False
317,250.52950548992268,False
318,250.52986213826955,False
319,250.679983247915,False
320,249.86710249694733,False
321,249.9911742798606,False
322,250.533034346567,False
323,249.87153963309106,False
324,249.45849090176313,False
325,249.95721770590615,False
326,250.38213834797554,False
327,249.99203206899378,False
328,249.89756099868805,False
329,249.8790526395073,False
330,249.68914251189244,False
331,250.87480919218592,False
332,249.83884444734875,False
333,250.46545331105105,False
334,250.5259666864707,False
335,250.3446019982571,False
336,249.8684616040621,False
337,250.50012816703057,False
338,249.96534344037943,False
339,250.37801670121576,False
340,250.21904930540094,False
341,249.71847963584233,False
342,250.4364599411454,False
343,250.37347376477314,False
344,250.59055238651922,False
345,250.55651067725375,False
346,248.22542412731283,False
347,251.78982109237447,False
348,248.96968493686765,False
349,250.7119054350649,False
350,250.6560664257714,False
351,249.8725589931539,False
352,251.79487731410939,False
353,250.34431108290536,False
354,249.9596803737753,False
355,249.96915146590058,False
356,250.4041963615281,False
357,248.81367204421844,False
358,251.4698533690037,False
359,250.37218692382663,False
360,250.40889347450425,False
361,250.561437091853,False
362,249.87002309487107,False
363,250.4421697310989,False
364,250.0543610569549,False
365,249.92331284665894,False
366,250.00267109876424,False
367,250.53836172580444,False
368,250.5529510140902,False
369,249.90150190782578,False
370,250.43745380121518,False
371,250.00131803438973,False
372,249.96352073051312,False
373,249.3428409269288,False
374,250.4307780176414,False
375,250.56182146904553,False
376,250.28127348468902,False
377,249.970051605223,False
378,249.5856593419779,False
379,250.93278665121332,False
380,250.24933556015867,False
381,250.31441303242048,False
382,250.02169806261892,False
383,249.06600497248678,False
384,251.18837784698508,False
385,250.30439678879608,False
386,249.30517530138346,False
387,251.15925221354817,False
388,249.96785127513164,False
389,249.96240811531922,False
390,250.24582471471294,False
